LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDEXPRD,TOT,PC_GDP,A,1998,1.4378558081,
AUS,GDEXPRD,TOT,PC_GDP,A,2000,1.4771397902,
AUS,GDEXPRD,TOT,PC_GDP,A,2002,1.6499650315,
AUS,GDEXPRD,TOT,PC_GDP,A,2004,1.7320748127,
AUS,GDEXPRD,TOT,PC_GDP,A,2006,2.0042815043,
AUS,GDEXPRD,TOT,PC_GDP,A,2008,2.2487105261,
AUS,GDEXPRD,TOT,PC_GDP,A,2010,2.1928720133,
AUS,GDEXPRD,TOT,PC_GDP,A,2011,2.1236769355,
AUS,GDEXPRD,TOT,PC_GDP,A,2013,2.1123289608,
AUT,GDEXPRD,TOT,MLN_USD,A,1981,2034.7408562373,
AUT,GDEXPRD,TOT,MLN_USD,A,1982,2162.4674737842,
AUT,GDEXPRD,TOT,MLN_USD,A,1983,2244.7522848794,
AUT,GDEXPRD,TOT,MLN_USD,A,1984,2344.2180540504,
AUT,GDEXPRD,TOT,MLN_USD,A,1985,2406.8326551105,
AUT,GDEXPRD,TOT,MLN_USD,A,1986,2543.213616111,
AUT,GDEXPRD,TOT,MLN_USD,A,1987,2593.4866638814,
AUT,GDEXPRD,TOT,MLN_USD,A,1988,2765.2845136701,
AUT,GDEXPRD,TOT,MLN_USD,A,1989,2918.1676460095,
AUT,GDEXPRD,TOT,MLN_USD,A,1990,3153.1786641786,
AUT,GDEXPRD,TOT,MLN_USD,A,1991,3447.2386112204,
AUT,GDEXPRD,TOT,MLN_USD,A,1992,3487.6663620968,
AUT,GDEXPRD,TOT,MLN_USD,A,1993,3547.7429102601,
AUT,GDEXPRD,TOT,MLN_USD,A,1994,3832.0856130162,
AUT,GDEXPRD,TOT,MLN_USD,A,1995,3986.5523401735,
AUT,GDEXPRD,TOT,MLN_USD,A,1996,4217.5638794418,
AUT,GDEXPRD,TOT,MLN_USD,A,1997,4512.5484444044,
AUT,GDEXPRD,TOT,MLN_USD,A,1998,4891.7907310019,
AUT,GDEXPRD,TOT,MLN_USD,A,1999,5397.6986985196,
AUT,GDEXPRD,TOT,MLN_USD,A,2000,5701.291483562,
AUT,GDEXPRD,TOT,MLN_USD,A,2001,6103.4500410257,
AUT,GDEXPRD,TOT,MLN_USD,A,2002,6434.3617776714,
AUT,GDEXPRD,TOT,MLN_USD,A,2003,6836.1469229902,
AUT,GDEXPRD,TOT,MLN_USD,A,2004,6992.1560754222,
AUT,GDEXPRD,TOT,MLN_USD,A,2005,7830.3561400252,
AUT,GDEXPRD,TOT,MLN_USD,A,2006,8051.6867530782,
AUT,GDEXPRD,TOT,MLN_USD,A,2007,8558.8167566176,
AUT,GDEXPRD,TOT,MLN_USD,A,2008,9238.5208173308,
AUT,GDEXPRD,TOT,MLN_USD,A,2009,8983.8083653729,
AUT,GDEXPRD,TOT,MLN_USD,A,2010,9592.4744419184,
AUT,GDEXPRD,TOT,MLN_USD,A,2011,9659.3624459583,
AUT,GDEXPRD,TOT,MLN_USD,A,2012,10631.744043415,
AUT,GDEXPRD,TOT,MLN_USD,A,2013,10793.1881980272,
AUT,GDEXPRD,TOT,MLN_USD,A,2014,11206.6776372062,
AUT,GDEXPRD,TOT,MLN_USD,A,2015,11411.7921075874,
AUT,GDEXPRD,TOT,PC_GDP,A,1981,1.0926165758,
AUT,GDEXPRD,TOT,PC_GDP,A,1982,1.1383090148,
AUT,GDEXPRD,TOT,PC_GDP,A,1983,1.147506824,
AUT,GDEXPRD,TOT,PC_GDP,A,1984,1.1977391145,
AUT,GDEXPRD,TOT,PC_GDP,A,1985,1.1997530295,
AUT,GDEXPRD,TOT,PC_GDP,A,1986,1.2392166892,
AUT,GDEXPRD,TOT,PC_GDP,A,1987,1.2467918799,
AUT,GDEXPRD,TOT,PC_GDP,A,1988,1.2869650908,
AUT,GDEXPRD,TOT,PC_GDP,A,1989,1.3073012175,
AUT,GDEXPRD,TOT,PC_GDP,A,1990,1.3537538142,
AUT,GDEXPRD,TOT,PC_GDP,A,1991,1.4307610705,
AUT,GDEXPRD,TOT,PC_GDP,A,1992,1.417857237,
AUT,GDEXPRD,TOT,PC_GDP,A,1993,1.4347221835,
AUT,GDEXPRD,TOT,PC_GDP,A,1994,1.5133588928,
AUT,GDEXPRD,TOT,PC_GDP,A,1995,1.5334484029,
AUT,GDEXPRD,TOT,PC_GDP,A,1996,1.5843114432,
AUT,GDEXPRD,TOT,PC_GDP,A,1997,1.658549895,
AUT,GDEXPRD,TOT,PC_GDP,A,1998,1.7361315549,
AUT,GDEXPRD,TOT,PC_GDP,A,1999,1.8492925392,
AUT,GDEXPRD,TOT,PC_GDP,A,2000,1.8896544646,
AUT,GDEXPRD,TOT,PC_GDP,A,2001,1.9959910163,
AUT,GDEXPRD,TOT,PC_GDP,A,2002,2.0699328974,
AUT,GDEXPRD,TOT,PC_GDP,A,2003,2.1826826003,
AUT,GDEXPRD,TOT,PC_GDP,A,2004,2.173679868,
AUT,GDEXPRD,TOT,PC_GDP,A,2005,2.3832369765,
AUT,GDEXPRD,TOT,PC_GDP,A,2006,2.371147712,
AUT,GDEXPRD,TOT,PC_GDP,A,2007,2.432403103,
AUT,GDEXPRD,TOT,PC_GDP,A,2008,2.5855684295,
AUT,GDEXPRD,TOT,PC_GDP,A,2009,2.613574151,
AUT,GDEXPRD,TOT,PC_GDP,A,2010,2.7378435482,
AUT,GDEXPRD,TOT,PC_GDP,A,2011,2.6816341546,
AUT,GDEXPRD,TOT,PC_GDP,A,2012,2.9294021475,
AUT,GDEXPRD,TOT,PC_GDP,A,2013,2.9643623896,
AUT,GDEXPRD,TOT,PC_GDP,A,2014,3.0670865083,
AUT,GDEXPRD,TOT,PC_GDP,A,2015,3.0965277024,
BEL,GDEXPRD,TOT,MLN_USD,A,1983,3589.1581814532,
BEL,GDEXPRD,TOT,MLN_USD,A,1984,3706.9410694868,
BEL,GDEXPRD,TOT,MLN_USD,A,1985,3893.4793596447,
BEL,GDEXPRD,TOT,MLN_USD,A,1986,3972.4161713324,
BEL,GDEXPRD,TOT,MLN_USD,A,1987,4096.0760812882,
BEL,GDEXPRD,TOT,MLN_USD,A,1988,4167.8830540957,
BEL,GDEXPRD,TOT,MLN_USD,A,1989,4463.9729848684,
BEL,GDEXPRD,TOT,MLN_USD,A,1991,4617.0844836068,
BEL,GDEXPRD,TOT,MLN_USD,A,1993,4874.4902502726,
BEL,GDEXPRD,TOT,MLN_USD,A,1994,5002.365346998,
BEL,GDEXPRD,TOT,MLN_USD,A,1995,5184.7917904651,
BEL,GDEXPRD,TOT,MLN_USD,A,1996,5560.3047701584,
BEL,GDEXPRD,TOT,MLN_USD,A,1997,5983.7673064853,
BEL,GDEXPRD,TOT,MLN_USD,A,1998,6200.1048016412,
BEL,GDEXPRD,TOT,MLN_USD,A,1999,6657.121956937,
BEL,GDEXPRD,TOT,MLN_USD,A,2000,7014.6276270787,
BEL,GDEXPRD,TOT,MLN_USD,A,2001,7436.9114887373,
BEL,GDEXPRD,TOT,MLN_USD,A,2002,7079.0431542442,
BEL,GDEXPRD,TOT,MLN_USD,A,2003,6911.6571827011,
BEL,GDEXPRD,TOT,MLN_USD,A,2004,7073.5069323552,
BEL,GDEXPRD,TOT,MLN_USD,A,2005,7115.173728893,
BEL,GDEXPRD,TOT,MLN_USD,A,2006,7423.7746996944,
BEL,GDEXPRD,TOT,MLN_USD,A,2007,7802.3231810134,
BEL,GDEXPRD,TOT,MLN_USD,A,2008,8201.6574034048,
BEL,GDEXPRD,TOT,MLN_USD,A,2009,8269.3295713367,
BEL,GDEXPRD,TOT,MLN_USD,A,2010,8772.0440206814,
BEL,GDEXPRD,TOT,MLN_USD,A,2011,9384.8174597163,
BEL,GDEXPRD,TOT,MLN_USD,A,2012,10303.2598415104,
BEL,GDEXPRD,TOT,MLN_USD,A,2013,10601.9534012719,
BEL,GDEXPRD,TOT,MLN_USD,A,2014,10894.79147392,
BEL,GDEXPRD,TOT,PC_GDP,A,1983,1.4884816114,
BEL,GDEXPRD,TOT,PC_GDP,A,1984,1.5003243299,
BEL,GDEXPRD,TOT,PC_GDP,A,1985,1.5502163179,
BEL,GDEXPRD,TOT,PC_GDP,A,1986,1.5533320195,
BEL,GDEXPRD,TOT,PC_GDP,A,1987,1.5655742301,
BEL,GDEXPRD,TOT,PC_GDP,A,1988,1.5211716845,
BEL,GDEXPRD,TOT,PC_GDP,A,1989,1.5746111188,
BEL,GDEXPRD,TOT,PC_GDP,A,1991,1.5506526761,
BEL,GDEXPRD,TOT,PC_GDP,A,1993,1.6280821416,
BEL,GDEXPRD,TOT,PC_GDP,A,1994,1.6185619543,
BEL,GDEXPRD,TOT,PC_GDP,A,1995,1.6385131701,
BEL,GDEXPRD,TOT,PC_GDP,A,1996,1.7296281944,
BEL,GDEXPRD,TOT,PC_GDP,A,1997,1.794758094,
BEL,GDEXPRD,TOT,PC_GDP,A,1998,1.8236211926,
BEL,GDEXPRD,TOT,PC_GDP,A,1999,1.8906769206,
BEL,GDEXPRD,TOT,PC_GDP,A,2000,1.922356524,
BEL,GDEXPRD,TOT,PC_GDP,A,2001,2.0216780956,
BEL,GDEXPRD,TOT,PC_GDP,A,2002,1.8907302685,
BEL,GDEXPRD,TOT,PC_GDP,A,2003,1.8318351929,
BEL,GDEXPRD,TOT,PC_GDP,A,2004,1.8089783769,
BEL,GDEXPRD,TOT,PC_GDP,A,2005,1.7823087487,
BEL,GDEXPRD,TOT,PC_GDP,A,2006,1.8142645609,
BEL,GDEXPRD,TOT,PC_GDP,A,2007,1.84412285,
BEL,GDEXPRD,TOT,PC_GDP,A,2008,1.9241324781,
BEL,GDEXPRD,TOT,PC_GDP,A,2009,1.9853719096,
BEL,GDEXPRD,TOT,PC_GDP,A,2010,2.0508023807,
BEL,GDEXPRD,TOT,PC_GDP,A,2011,2.1553338644,
BEL,GDEXPRD,TOT,PC_GDP,A,2012,2.3625166797,
BEL,GDEXPRD,TOT,PC_GDP,A,2013,2.4309322193,
BEL,GDEXPRD,TOT,PC_GDP,A,2014,2.4661292981,
CAN,GDEXPRD,TOT,MLN_USD,A,1981,8212.983957472,
CAN,GDEXPRD,TOT,MLN_USD,A,1982,8884.354782819,
CAN,GDEXPRD,TOT,MLN_USD,A,1983,8912.5698540929,
CAN,GDEXPRD,TOT,MLN_USD,A,1984,9684.3748756521,
CAN,GDEXPRD,TOT,MLN_USD,A,1985,10425.3900595019,
CAN,GDEXPRD,TOT,MLN_USD,A,1986,10934.4859049242,
CAN,GDEXPRD,TOT,MLN_USD,A,1987,11004.2005748019,
CAN,GDEXPRD,TOT,MLN_USD,A,1988,11346.24664578,
CAN,GDEXPRD,TOT,MLN_USD,A,1989,12166.0088229327,
CAN,GDEXPRD,TOT,MLN_USD,A,1990,12679.0175190755,
CAN,GDEXPRD,TOT,MLN_USD,A,1991,12909.8044574326,
CAN,GDEXPRD,TOT,MLN_USD,A,1992,13389.6150233093,
CAN,GDEXPRD,TOT,MLN_USD,A,1993,14203.6343033442,
CAN,GDEXPRD,TOT,MLN_USD,A,1994,15328.2089402425,
CAN,GDEXPRD,TOT,MLN_USD,A,1995,15452.2335010369,
CAN,GDEXPRD,TOT,MLN_USD,A,1996,15255.7444731976,
CAN,GDEXPRD,TOT,MLN_USD,A,1997,15978.8254792482,
CAN,GDEXPRD,TOT,MLN_USD,A,1998,17595.7933409356,
CAN,GDEXPRD,TOT,MLN_USD,A,1999,18929.5692127823,
CAN,GDEXPRD,TOT,MLN_USD,A,2000,21144.5521659421,
CAN,GDEXPRD,TOT,MLN_USD,A,2001,23407.1879270911,
CAN,GDEXPRD,TOT,MLN_USD,A,2002,23522.2936884514,
CAN,GDEXPRD,TOT,MLN_USD,A,2003,23898.5002592679,
CAN,GDEXPRD,TOT,MLN_USD,A,2004,25002.5526258345,
CAN,GDEXPRD,TOT,MLN_USD,A,2005,25460.8350445519,
CAN,GDEXPRD,TOT,MLN_USD,A,2006,25747.3949721211,
CAN,GDEXPRD,TOT,MLN_USD,A,2007,25737.0539406499,
CAN,GDEXPRD,TOT,MLN_USD,A,2008,25338.4300732658,
CAN,GDEXPRD,TOT,MLN_USD,A,2009,25408.8518267139,
CAN,GDEXPRD,TOT,MLN_USD,A,2010,25048.2265872792,
CAN,GDEXPRD,TOT,MLN_USD,A,2011,25277.2179507648,
CAN,GDEXPRD,TOT,MLN_USD,A,2012,25657.0558987099,
CAN,GDEXPRD,TOT,MLN_USD,A,2013,24696.7085825399,
CAN,GDEXPRD,TOT,MLN_USD,A,2014,24158.8113332564,
CAN,GDEXPRD,TOT,PC_GDP,A,1981,1.2026007774,
CAN,GDEXPRD,TOT,PC_GDP,A,1982,1.3439407611,
CAN,GDEXPRD,TOT,PC_GDP,A,1983,1.3140620123,
CAN,GDEXPRD,TOT,PC_GDP,A,1984,1.3479835652,
CAN,GDEXPRD,TOT,PC_GDP,A,1985,1.3855343071,
CAN,GDEXPRD,TOT,PC_GDP,A,1986,1.4224425589,
CAN,GDEXPRD,TOT,PC_GDP,A,1987,1.3751779076,
CAN,GDEXPRD,TOT,PC_GDP,A,1988,1.3577812976,
CAN,GDEXPRD,TOT,PC_GDP,A,1989,1.4228146589,
CAN,GDEXPRD,TOT,PC_GDP,A,1990,1.4805258897,
CAN,GDEXPRD,TOT,PC_GDP,A,1991,1.5402150581,
CAN,GDEXPRD,TOT,PC_GDP,A,1992,1.5834775334,
CAN,GDEXPRD,TOT,PC_GDP,A,1993,1.6362972195,
CAN,GDEXPRD,TOT,PC_GDP,A,1994,1.6899153522,
CAN,GDEXPRD,TOT,PC_GDP,A,1995,1.6591613961,
CAN,GDEXPRD,TOT,PC_GDP,A,1996,1.6120920909,
CAN,GDEXPRD,TOT,PC_GDP,A,1997,1.6192020816,
CAN,GDEXPRD,TOT,PC_GDP,A,1998,1.7164286591,
CAN,GDEXPRD,TOT,PC_GDP,A,1999,1.7558758174,
CAN,GDEXPRD,TOT,PC_GDP,A,2000,1.8646927557,
CAN,GDEXPRD,TOT,PC_GDP,A,2001,2.0283120197,
CAN,GDEXPRD,TOT,PC_GDP,A,2002,1.9787263378,
CAN,GDEXPRD,TOT,PC_GDP,A,2003,1.9747823548,
CAN,GDEXPRD,TOT,PC_GDP,A,2004,2.0041647323,
CAN,GDEXPRD,TOT,PC_GDP,A,2005,1.9775897159,
CAN,GDEXPRD,TOT,PC_GDP,A,2006,1.9487242722,
CAN,GDEXPRD,TOT,PC_GDP,A,2007,1.9085725616,
CAN,GDEXPRD,TOT,PC_GDP,A,2008,1.8604012407,
CAN,GDEXPRD,TOT,PC_GDP,A,2009,1.9222708176,
CAN,GDEXPRD,TOT,PC_GDP,A,2010,1.8383038631,
CAN,GDEXPRD,TOT,PC_GDP,A,2011,1.7986113505,
CAN,GDEXPRD,TOT,PC_GDP,A,2012,1.7943195334,
CAN,GDEXPRD,TOT,PC_GDP,A,2013,1.6896796468,
CAN,GDEXPRD,TOT,PC_GDP,A,2014,1.6129906951,
CZE,GDEXPRD,TOT,MLN_USD,A,1995,1680.2551226302,
CZE,GDEXPRD,TOT,MLN_USD,A,1996,1776.7110325656,
CZE,GDEXPRD,TOT,MLN_USD,A,1997,1961.146409485,
CZE,GDEXPRD,TOT,MLN_USD,A,1998,2092.2254665448,
CZE,GDEXPRD,TOT,MLN_USD,A,1999,2101.9527812491,
CZE,GDEXPRD,TOT,MLN_USD,A,2000,2315.4881409667,
CZE,GDEXPRD,TOT,MLN_USD,A,2001,2363.4727265917,
CZE,GDEXPRD,TOT,MLN_USD,A,2002,2400.5499190048,
CZE,GDEXPRD,TOT,MLN_USD,A,2003,2591.1840237493,
CZE,GDEXPRD,TOT,MLN_USD,A,2004,2710.3956708215,
CZE,GDEXPRD,TOT,MLN_USD,A,2005,2943.9981657249,
CZE,GDEXPRD,TOT,MLN_USD,A,2006,3315.4200334342,
CZE,GDEXPRD,TOT,MLN_USD,A,2007,3701.1467896056,
CZE,GDEXPRD,TOT,MLN_USD,A,2008,3617.7993903439,
CZE,GDEXPRD,TOT,MLN_USD,A,2009,3595.5877503049,
CZE,GDEXPRD,TOT,MLN_USD,A,2010,3799.0309767162,
CZE,GDEXPRD,TOT,MLN_USD,A,2011,4510.3472092432,
CZE,GDEXPRD,TOT,MLN_USD,A,2012,5129.6560277428,
CZE,GDEXPRD,TOT,MLN_USD,A,2013,5442.112709549,
CZE,GDEXPRD,TOT,MLN_USD,A,2014,5804.996144526,
CZE,GDEXPRD,TOT,PC_GDP,A,1995,0.8849102755,
CZE,GDEXPRD,TOT,PC_GDP,A,1996,0.8972802934,
CZE,GDEXPRD,TOT,PC_GDP,A,1997,0.9971479196,
CZE,GDEXPRD,TOT,PC_GDP,A,1998,1.0671678676,
CZE,GDEXPRD,TOT,PC_GDP,A,1999,1.0569302284,
CZE,GDEXPRD,TOT,PC_GDP,A,2000,1.1163645406,
CZE,GDEXPRD,TOT,PC_GDP,A,2001,1.1057569052,
CZE,GDEXPRD,TOT,PC_GDP,A,2002,1.1049063162,
CZE,GDEXPRD,TOT,PC_GDP,A,2003,1.1511859824,
CZE,GDEXPRD,TOT,PC_GDP,A,2004,1.1473819509,
CZE,GDEXPRD,TOT,PC_GDP,A,2005,1.1708432528,
CZE,GDEXPRD,TOT,PC_GDP,A,2006,1.2337221923,
CZE,GDEXPRD,TOT,PC_GDP,A,2007,1.3050952545,
CZE,GDEXPRD,TOT,PC_GDP,A,2008,1.2420343652,
CZE,GDEXPRD,TOT,PC_GDP,A,2009,1.2972173173,
CZE,GDEXPRD,TOT,PC_GDP,A,2010,1.3398645379,
CZE,GDEXPRD,TOT,PC_GDP,A,2011,1.5600554728,
CZE,GDEXPRD,TOT,PC_GDP,A,2012,1.7903832235,
CZE,GDEXPRD,TOT,PC_GDP,A,2013,1.9095242732,
CZE,GDEXPRD,TOT,PC_GDP,A,2014,1.9973420284,
DNK,GDEXPRD,TOT,MLN_USD,A,1981,1372.1105127368,
DNK,GDEXPRD,TOT,MLN_USD,A,1982,1476.1185582797,
DNK,GDEXPRD,TOT,MLN_USD,A,1983,1583.2656322315,
DNK,GDEXPRD,TOT,MLN_USD,A,1984,1689.6505908166,
DNK,GDEXPRD,TOT,MLN_USD,A,1985,1806.9261258762,
DNK,GDEXPRD,TOT,MLN_USD,A,1986,2016.5018732584,
DNK,GDEXPRD,TOT,MLN_USD,A,1987,2168.7608821309,
DNK,GDEXPRD,TOT,MLN_USD,A,1988,2292.5685331443,
DNK,GDEXPRD,TOT,MLN_USD,A,1989,2380.3339979557,
DNK,GDEXPRD,TOT,MLN_USD,A,1990,2529.627314439,
DNK,GDEXPRD,TOT,MLN_USD,A,1991,2673.0041976025,
DNK,GDEXPRD,TOT,MLN_USD,A,1992,2777.4961972816,
DNK,GDEXPRD,TOT,MLN_USD,A,1993,2906.9401882363,
DNK,GDEXPRD,TOT,MLN_USD,A,1995,3340.5747255204,
DNK,GDEXPRD,TOT,MLN_USD,A,1996,3471.3473386276,
DNK,GDEXPRD,TOT,MLN_USD,A,1997,3748.1737155421,
DNK,GDEXPRD,TOT,MLN_USD,A,1998,4068.6902710268,
DNK,GDEXPRD,TOT,MLN_USD,A,1999,4442.2141637738,
DNK,GDEXPRD,TOT,MLN_USD,A,2001,5076.8792858148,
DNK,GDEXPRD,TOT,MLN_USD,A,2002,5356.7821659705,
DNK,GDEXPRD,TOT,MLN_USD,A,2003,5530.5427941032,
DNK,GDEXPRD,TOT,MLN_USD,A,2004,5472.0505515729,
DNK,GDEXPRD,TOT,MLN_USD,A,2005,5540.844595382,
DNK,GDEXPRD,TOT,MLN_USD,A,2006,5774.8145621743,
DNK,GDEXPRD,TOT,MLN_USD,A,2007,6094.9624531111,
DNK,GDEXPRD,TOT,MLN_USD,A,2008,6688.1401469865,
DNK,GDEXPRD,TOT,MLN_USD,A,2009,7009.6121248311,
DNK,GDEXPRD,TOT,MLN_USD,A,2010,6816.4796209234,
DNK,GDEXPRD,TOT,MLN_USD,A,2011,6963.7460266674,
DNK,GDEXPRD,TOT,MLN_USD,A,2012,7039.7960511707,
DNK,GDEXPRD,TOT,MLN_USD,A,2013,7154.4614037069,
DNK,GDEXPRD,TOT,MLN_USD,A,2014,7231.1718904423,
DNK,GDEXPRD,TOT,PC_GDP,A,1981,1.0220193764,
DNK,GDEXPRD,TOT,PC_GDP,A,1982,1.0601174084,
DNK,GDEXPRD,TOT,PC_GDP,A,1983,1.1076937345,
DNK,GDEXPRD,TOT,PC_GDP,A,1984,1.1348503469,
DNK,GDEXPRD,TOT,PC_GDP,A,1985,1.1666664907,
DNK,GDEXPRD,TOT,PC_GDP,A,1986,1.2405825125,
DNK,GDEXPRD,TOT,PC_GDP,A,1987,1.3303972507,
DNK,GDEXPRD,TOT,PC_GDP,A,1988,1.4083546088,
DNK,GDEXPRD,TOT,PC_GDP,A,1989,1.4539404424,
DNK,GDEXPRD,TOT,PC_GDP,A,1990,1.5206866537,
DNK,GDEXPRD,TOT,PC_GDP,A,1991,1.5862497145,
DNK,GDEXPRD,TOT,PC_GDP,A,1992,1.61632881,
DNK,GDEXPRD,TOT,PC_GDP,A,1993,1.6931742741,
DNK,GDEXPRD,TOT,PC_GDP,A,1995,1.7890307897,
DNK,GDEXPRD,TOT,PC_GDP,A,1996,1.8066697058,
DNK,GDEXPRD,TOT,PC_GDP,A,1997,1.8891416237,
DNK,GDEXPRD,TOT,PC_GDP,A,1998,2.0061872464,
DNK,GDEXPRD,TOT,PC_GDP,A,1999,2.1276409727,
DNK,GDEXPRD,TOT,PC_GDP,A,2001,2.3246646562,
DNK,GDEXPRD,TOT,PC_GDP,A,2002,2.4414456512,
DNK,GDEXPRD,TOT,PC_GDP,A,2003,2.5108454569,
DNK,GDEXPRD,TOT,PC_GDP,A,2004,2.4204165915,
DNK,GDEXPRD,TOT,PC_GDP,A,2005,2.3925389342,
DNK,GDEXPRD,TOT,PC_GDP,A,2006,2.402355987,
DNK,GDEXPRD,TOT,PC_GDP,A,2007,2.5148068378,
DNK,GDEXPRD,TOT,PC_GDP,A,2008,2.7795100768,
DNK,GDEXPRD,TOT,PC_GDP,A,2009,3.0692725646,
DNK,GDEXPRD,TOT,PC_GDP,A,2010,2.9369765863,
DNK,GDEXPRD,TOT,PC_GDP,A,2011,2.9662529372,
DNK,GDEXPRD,TOT,PC_GDP,A,2012,3.0008472213,
DNK,GDEXPRD,TOT,PC_GDP,A,2013,3.0571782802,
DNK,GDEXPRD,TOT,PC_GDP,A,2014,3.0514510569,
FIN,GDEXPRD,TOT,MLN_USD,A,1981,1180.4806642969,
FIN,GDEXPRD,TOT,MLN_USD,A,1983,1425.1037499386,
FIN,GDEXPRD,TOT,MLN_USD,A,1984,1617.31290817,
FIN,GDEXPRD,TOT,MLN_USD,A,1985,1772.9015458275,
FIN,GDEXPRD,TOT,MLN_USD,A,1986,1921.6312891321,
FIN,GDEXPRD,TOT,MLN_USD,A,1987,2099.7098129359,
FIN,GDEXPRD,TOT,MLN_USD,A,1988,2249.3730919257,
FIN,GDEXPRD,TOT,MLN_USD,A,1989,2405.4132452454,
FIN,GDEXPRD,TOT,MLN_USD,A,1990,2521.4794008764,
FIN,GDEXPRD,TOT,MLN_USD,A,1991,2565.5130503884,
FIN,GDEXPRD,TOT,MLN_USD,A,1992,2596.1261789635,
FIN,GDEXPRD,TOT,MLN_USD,A,1993,2621.1001401561,
FIN,GDEXPRD,TOT,MLN_USD,A,1994,2878.3384504117,
FIN,GDEXPRD,TOT,MLN_USD,A,1995,2988.0632215006,
FIN,GDEXPRD,TOT,MLN_USD,A,1996,3447.1495976401,
FIN,GDEXPRD,TOT,MLN_USD,A,1997,3916.6288529547,
FIN,GDEXPRD,TOT,MLN_USD,A,1998,4386.3630481269,
FIN,GDEXPRD,TOT,MLN_USD,A,1999,5024.3331771499,
FIN,GDEXPRD,TOT,MLN_USD,A,2000,5636.8341554163,
FIN,GDEXPRD,TOT,MLN_USD,A,2001,5697.2568102351,
FIN,GDEXPRD,TOT,MLN_USD,A,2002,5900.6860474208,
FIN,GDEXPRD,TOT,MLN_USD,A,2003,6101.0042099729,
FIN,GDEXPRD,TOT,MLN_USD,A,2004,6365.1133085835,
FIN,GDEXPRD,TOT,MLN_USD,A,2005,6571.3176635843,
FIN,GDEXPRD,TOT,MLN_USD,A,2006,6853.9253058693,
FIN,GDEXPRD,TOT,MLN_USD,A,2007,7226.8944779376,
FIN,GDEXPRD,TOT,MLN_USD,A,2008,7716.9512276839,
FIN,GDEXPRD,TOT,MLN_USD,A,2009,7481.4572094559,
FIN,GDEXPRD,TOT,MLN_USD,A,2010,7658.3499025204,
FIN,GDEXPRD,TOT,MLN_USD,A,2011,7671.4695291205,
FIN,GDEXPRD,TOT,MLN_USD,A,2012,7106.2586399897,
FIN,GDEXPRD,TOT,MLN_USD,A,2013,6779.5408250835,
FIN,GDEXPRD,TOT,MLN_USD,A,2014,6497.2913176797,
FIN,GDEXPRD,TOT,PC_GDP,A,1981,1.1455799149,
FIN,GDEXPRD,TOT,PC_GDP,A,1983,1.3009489202,
FIN,GDEXPRD,TOT,PC_GDP,A,1984,1.4304367741,
FIN,GDEXPRD,TOT,PC_GDP,A,1985,1.5144848816,
FIN,GDEXPRD,TOT,PC_GDP,A,1986,1.5979729513,
FIN,GDEXPRD,TOT,PC_GDP,A,1987,1.6860497671,
FIN,GDEXPRD,TOT,PC_GDP,A,1988,1.7167860274,
FIN,GDEXPRD,TOT,PC_GDP,A,1989,1.7469982851,
FIN,GDEXPRD,TOT,PC_GDP,A,1990,1.8190020439,
FIN,GDEXPRD,TOT,PC_GDP,A,1991,1.967111382,
